QtyShipped,UnitPrice,LineTotal,InvoiceNo,PartDesc,PartNo,DelTicketNo,Revision,PONum,BillingDet_ID,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
1,0,0,SCC_39356,NULL,VALVE,39356,NULL,NULL,SCC_144056,1,Y,36:07.7,SCC_BillingDet.csv,NULL
1,0,0,SCC_39356,pipe support,PIPE,39356,NULL,NULL,SCC_144057,2,Y,36:07.7,SCC_BillingDet.csv,NULL
1,0,0,SCC_39356,NULL,COAT REDUCER,39356,NULL,NULL,SCC_144058,3,Y,36:07.7,SCC_BillingDet.csv,NULL
1,0,0,SCC_39356,NULL,HAND PREP,39356,NULL,NULL,SCC_144059,4,Y,36:07.7,SCC_BillingDet.csv,NULL
1,1685,1685,SCC_39356,NULL,CHARGE,39356,NULL,NULL,SCC_144060,5,Y,36:07.7,SCC_BillingDet.csv,NULL
1,0,0,SCC_39357,NULL,BRIDGES COLUMNS,39357,NULL,NULL,SCC_144061,6,Y,36:07.7,SCC_BillingDet.csv,NULL
1,0,0,SCC_39357,NULL,PREP AND REPAIR,39357,NULL,NULL,SCC_144062,7,Y,36:07.7,SCC_BillingDet.csv,NULL
1,800,800,SCC_39357,NULL,CHARGE,39357,NULL,NULL,SCC_144063,8,Y,36:07.7,SCC_BillingDet.csv,NULL
1,1518,1518,SCC_39358,Blast to achieve a SSPC- SP10          Tnemec Series 22 Epoxoline,METAL PCS,39358,NULL,NULL,SCC_144064,9,Y,36:07.7,SCC_BillingDet.csv,NULL
3,0,0,SCC_39359,"8"" x 9""",SPOOLS,39359,NULL,18812,SCC_144065,10,Y,36:07.7,SCC_BillingDet.csv,NULL
3,0,0,SCC_39359,"28"" x 23""x 2""",HANDLES,39359,NULL,18812,SCC_144066,11,Y,36:07.7,SCC_BillingDet.csv,NULL
3,0,0,SCC_39359,NULL,NUTS,39359,NULL,18812,SCC_144067,12,Y,36:07.7,SCC_BillingDet.csv,NULL
3,0,0,SCC_39359,NULL,PRESSURE VESSELS,39359,NULL,18812,SCC_144068,13,Y,36:07.7,SCC_BillingDet.csv,NULL
